115年01月臺北市各里人口數戶數,,,,,,,,,
行政區,里別,村里數_現有門牌,村里數_戶籍登記,鄰數_現有門牌,鄰數_戶籍登記,戶數,人口數-合計,人口數-男,人口數-女
萬華區,新忠里,1,1,22,22,1574,3213,1456,1757
萬華區,新和里,1,1,30,29,3468,7671,3586,4085
萬華區,糖廍里,1,1,19,19,2303,4863,2362,2501
萬華區,和平里,1,1,24,24,2717,5883,2821,3062
萬華區,綠堤里,1,1,20,20,1689,3851,1833,2018
萬華區,華江里,1,1,30,30,3408,7791,3786,4005
萬華區,柳鄉里,1,1,19,19,2041,4596,2237,2359
萬華區,日善里,1,1,15,15,1542,3496,1703,1793
萬華區,新安里,1,1,28,28,2492,5223,2503,2720
萬華區,忠德里,1,1,13,13,1870,4160,2047,2113
萬華區,孝德里,1,1,14,14,1385,3005,1442,1563
萬華區,和德里,1,1,24,24,2533,5477,2712,2765
萬華區,錦德里,1,1,21,21,2197,4936,2354,2582
萬華區,全德里,1,1,19,19,1795,3965,1911,2054
萬華區,保德里,1,1,10,10,1267,3009,1510,1499
萬華區,銘德里,1,1,20,20,1827,4180,1981,2199
萬華區,榮德里,1,1,17,17,1368,3178,1612,1566
萬華區,壽德里,1,1,17,17,1912,4437,2141,2296
萬華區,興德里,1,1,18,18,1744,4133,2043,2090
萬華區,華中里,1,1,21,21,2425,5486,2649,2837
萬華區,日祥里,1,1,25,25,3192,6509,3093,3416
萬華區,忠貞里,1,1,22,22,2217,4296,1916,2380
萬華區,凌霄里,1,1,15,15,1626,3278,1541,1737
萬華區,騰雲里,1,1,16,16,1323,2753,1301,1452
文山區,文山區,43,43,1014,1009,110762,253525,119918,133607
文山區,景行里,1,1,23,23,3622,7966,3691,4275
文山區,景東里,1,1,26,26,2994,6993,3258,3735
文山區,景美里,1,1,17,17,2133,5124,2354,2770
文山區,景慶里,1,1,26,26,2537,6208,2916,3292
文山區,景仁里,1,1,19,19,2757,6068,2800,3268
文山區,景華里,1,1,24,24,2250,5500,2542,2958
文山區,萬有里,1,1,23,23,2254,5407,2617,2790
文山區,萬祥里,1,1,21,21,1923,4331,2022,2309
文山區,萬隆里,1,1,29,29,2901,6773,3157,3616
文山區,萬年里,1,1,20,20,2269,4918,2344,2574
文山區,萬和里,1,1,14,14,1658,3650,1736,1914
文山區,萬盛里,1,1,22,22,2081,4459,2095,2364
文山區,興豐里,1,1,20,20,2107,4850,2319,2531
文山區,興光里,1,1,17,17,1849,3775,1734,2041
文山區,興家里,1,1,30,30,2931,6955,3325,3630
文山區,興得里,1,1,27,27,2669,5856,2769,3087
文山區,興業里,1,1,23,23,2106,4719,2236,2483
文山區,興安里,1,1,29,29,2846,6500,3046,3454
文山區,興福里,1,1,23,23,2128,5421,2545,2876
文山區,興旺里,1,1,24,24,3490,7731,3643,4088
文山區,興泰里,1,1,13,13,1811,3861,1797,2064
文山區,興昌里,1,1,25,25,2838,6282,2927,3355
文山區,試院里,1,1,30,30,2951,6582,3140,3442
文山區,華興里,1,1,34,34,3955,8984,4260,4724
文山區,明義里,1,1,25,20,1815,3964,1842,2122
文山區,明興里,1,1,32,32,2820,6313,2978,3335
文山區,木柵里,1,1,34,34,4219,9482,4408,5074
文山區,木新里,1,1,35,35,4843,9851,4958,4893
文山區,順興里,1,1,26,26,2892,6910,3269,3641
文山區,樟林里,1,1,31,31,3266,7831,3787,4044
文山區,樟新里,1,1,19,19,2267,5324,2478,2846
文山區,樟腳里,1,1,16,16,2116,5185,2464,2721
文山區,萬芳里,1,1,34,34,3278,7491,3475,4016
文山區,博嘉里,1,1,21,21,2366,5723,2713,3010
文山區,萬興里,1,1,31,31,3419,8179,3890,4289
文山區,指南里,1,1,18,18,1877,4143,2072,2071
文山區,老泉里,1,1,9,9,357,831,444,387
文山區,忠順里,1,1,17,17,1798,4047,1866,2181
文山區,萬美里,1,1,30,30,2854,6684,3154,3530
文山區,政大里,1,1,21,21,3106,7733,3710,4023
文山區,樟文里,1,1,22,22,2384,5816,2833,2983
文山區,興邦里,1,1,18,18,2234,4701,2213,2488
文山區,樟樹里,1,1,16,16,1791,4404,2091,2313
南港區,南港區,20,20,463,457,49460,111213,53548,57665
南港區,南港里,1,1,23,23,3021,6279,3203,3076
南港區,中南里,1,1,24,24,1392,3203,1595,1608
南港區,新富里,1,1,17,17,1548,3578,1730,1848
南港區,三重里,1,1,35,34,3744,7546,3554,3992
南港區,東新里,1,1,23,23,3125,7129,3437,3692
南港區,新光里,1,1,25,21,1806,3945,1833,2112
南港區,東明里,1,1,18,17,2475,5441,2568,2873
南港區,西新里,1,1,17,17,1754,4225,2040,2185
南港區,玉成里,1,1,21,21,2020,4357,2153,2204
南港區,合成里,1,1,26,26,2875,6226,2989,3237
南港區,成福里,1,1,29,29,3019,6962,3310,3652
南港區,萬福里,1,1,19,19,1744,3942,1851,2091
南港區,鴻福里,1,1,17,17,1767,4109,1952,2157
南港區,百福里,1,1,22,22,2160,4910,2357,2553
南港區,聯成里,1,1,19,19,1978,4452,2144,2308
南港區,舊莊里,1,1,36,36,3770,8602,4165,4437
南港區,中研里,1,1,35,35,3558,8711,4232,4479
南港區,九如里,1,1,28,28,2527,6074,2909,3165
南港區,仁福里,1,1,15,15,2219,5233,2535,2698
南港區,重陽里,1,1,14,14,2958,6289,2991,3298
內湖區,內湖區,39,39,915,914,112186,267577,126253,141324
內湖區,西湖里,1,1,33,33,2848,6628,3118,3510
內湖區,西康里,1,1,27,27,4057,9397,4358,5039
內湖區,西安里,1,1,23,23,2646,6310,2960,3350
內湖區,港墘里,1,1,22,22,2336,5808,2712,3096
內湖區,港都里,1,1,13,13,1983,5096,2406,2690
內湖區,港富里,1,1,30,30,3688,9317,4418,4899
內湖區,港華里,1,1,25,25,3375,9097,4306,4791
內湖區,內湖里,1,1,25,25,3133,6278,2809,3469
內湖區,湖濱里,1,1,34,34,3456,8228,3834,4394
內湖區,紫星里,1,1,39,39,3128,7577,3547,4030
內湖區,大湖里,1,1,25,25,2202,5029,2321,2708
內湖區,金龍里,1,1,23,23,2105,4923,2373,2550
內湖區,金瑞里,1,1,24,24,2657,6450,3051,3399
內湖區,碧山里,1,1,24,24,2812,6839,3278,3561
內湖區,紫雲里,1,1,23,23,2244,5411,2570,2841
內湖區,清白里,1,1,32,32,3890,8347,3824,4523
內湖區,葫洲里,1,1,20,20,2803,7169,3363,3806
內湖區,紫陽里,1,1,22,22,3496,7848,3692,4156
內湖區,瑞陽里,1,1,28,28,3167,7240,3364,3876
內湖區,瑞光里,1,1,20,20,1762,4162,1918,2244
內湖區,五分里,1,1,34,34,4027,10545,4970,5575
內湖區,東湖里,1,1,20,20,3118,7727,3687,4040
內湖區,樂康里,1,1,26,26,2973,7554,3595,3959
內湖區,內溝里,1,1,17,17,1831,4455,2164,2291
內湖區,週美里,1,1,30,29,4192,9398,4442,4956
內湖區,行善里,1,1,22,22,3127,7083,3425,3658
內湖區,石潭里,1,1,19,19,2015,4134,1945,2189
內湖區,湖興里,1,1,25,25,4340,8359,4086,4273
內湖區,湖元里,1,1,20,20,2924,6602,3098,3504
內湖區,安湖里,1,1,20,20,2596,7146,3390,3756
內湖區,秀湖里,1,1,25,25,2444,5737,2737,3000
內湖區,安泰里,1,1,15,15,2090,5138,2466,2672
內湖區,金湖里,1,1,26,26,4024,9826,4552,5274
內湖區,康寧里,1,1,23,23,3095,8627,4148,4479
內湖區,明湖里,1,1,20,20,1971,5345,2515,2830
內湖區,蘆洲里,1,1,5,5,479,1177,629,548
內湖區,麗山里,1,1,16,16,2365,5964,2834,3130
內湖區,寶湖里,1,1,29,29,4567,9986,4714,5272
內湖區,南湖里,1,1,11,11,2220,5620,2634,2986
士林區,士林區,51,51,995,994,109433,257823,123204,134619
士林區,仁勇里,1,1,17,17,1620,3552,1696,1856
士林區,義信里,1,1,14,14,1416,3050,1470,1580
士林區,福林里,1,1,18,18,1257,2774,1360,1414
士林區,福德里,1,1,20,19,2805,5211,2695,2516
士林區,福志里,1,1,24,24,3059,6926,3264,3662
士林區,舊佳里,1,1,22,22,2506,5514,2628,2886
士林區,福佳里,1,1,26,26,3235,7479,3548,3931
士林區,後港里,1,1,26,26,3166,7541,3655,3886
士林區,福中里,1,1,19,19,2530,6275,3026,3249
士林區,前港里,1,1,16,16,1755,4220,2038,2182
士林區,百齡里,1,1,27,27,2480,6311,3079,3232
士林區,承德里,1,1,20,20,2358,5050,2299,2751
士林區,福華里,1,1,28,28,2578,5789,2757,3032
士林區,明勝里,1,1,18,18,1986,4501,2177,2324
士林區,福順里,1,1,17,17,2208,5104,2483,2621
士林區,富光里,1,1,25,25,2203,5596,2711,2885
士林區,葫蘆里,1,1,28,28,2837,6964,3317,3647
士林區,葫東里,1,1,13,13,1600,3714,1792,1922
士林區,社子里,1,1,23,23,2532,6056,2963,3093
士林區,社新里,1,1,29,29,3475,8511,4218,4293
士林區,社園里,1,1,26,26,2658,6795,3364,3431
士林區,永倫里,1,1,23,23,2822,6467,3216,3251
士林區,福安里,1,1,12,12,2074,4613,2443,2170
士林區,富洲里,1,1,17,17,2970,5735,2990,2745
士林區,岩山里,1,1,15,15,1288,3193,1477,1716
士林區,名山里,1,1,25,25,2721,6854,3122,3732
士林區,德行里,1,1,16,16,1940,4301,1971,2330
士林區,德華里,1,1,19,19,2246,5252,2431,2821
士林區,聖山里,1,1,22,22,2016,4950,2301,2649
士林區,忠誠里,1,1,25,25,2231,5340,2475,2865
士林區,芝山里,1,1,30,30,2834,7195,3375,3820
士林區,東山里,1,1,22,22,1860,4886,2320,2566
士林區,三玉里,1,1,21,21,2287,5636,2600,3036
士林區,蘭雅里,1,1,25,25,3506,8442,3899,4543
士林區,蘭興里,1,1,19,19,2531,6156,2842,3314
士林區,天福里,1,1,20,20,2469,6217,2855,3362
士林區,天祿里,1,1,16,16,2002,4945,2306,2639
士林區,天壽里,1,1,16,16,2131,5096,2341,2755
士林區,天和里,1,1,21,21,2797,7136,3415,3721
士林區,天山里,1,1,20,20,2725,6684,3035,3649
士林區,天玉里,1,1,29,29,3606,8732,3996,4736
士林區,天母里,1,1,20,20,2700,6558,3058,3500
士林區,永福里,1,1,10,10,460,1137,547,590
士林區,公館里,1,1,9,9,526,1258,659,599
士林區,新安里,1,1,10,10,762,1822,914,908
士林區,陽明里,1,1,23,23,1533,2886,1417,1469
士林區,菁山里,1,1,10,10,588,1432,783,649
士林區,平等里,1,1,10,10,568,1377,700,677
士林區,溪山里,1,1,10,10,614,1420,716,704
士林區,翠山里,1,1,12,12,1177,2506,1153,1353
士林區,臨溪里,1,1,12,12,1185,2664,1307,1357
北投區,北投區,42,42,823,822,101202,235440,111783,123657
北投區,建民里,1,1,20,20,2028,4490,2096,2394
北投區,文林里,1,1,20,20,1857,4220,2025,2195
北投區,石牌里,1,1,16,16,2100,4884,2278,2606
