BR15,Y20,49,"BL15,Y17"
G12,O04,13,"O05"
O11,BR08,20,"BL14,BR10"
BL21,O53,40,"O07"
R17,O20,36,"O11"
R08,R25,32,""
BL09,O54,41,"O07"
BR16,BR17,1,""
R17,O21,39,"O11"
BL21,O54,42,"O07"
BL09,BR01,37,"BR10"
BR16,BR18,3,""
R08,R26,35,""
O11,BR09,16,""
G12,O05,5,""
R17,O50,15,"O11"
BL21,BR01,34,"BR10"
BL09,BR02,35,"BR10"
BR16,BR19,5,""
BL21,BR02,32,"BR10"
R08,R27,38,""
BL09,BR03,34,"BR10"
R17,O51,18,"O11"
BR16,BR20,6,""
G12,O06,11,"O07"
BL21,BR03,31,"BR10"
O11,BR10,11,"BL14"
BL09,BR04,32,"BR10"
R17,O52,19,"O11"
R08,R28,43,""
BR16,BR21,9,""
BL21,BR04,29,"BR10"
R22A,G07,-1,"ERROR"
BL09,BR05,30,"BR10"
BL21,BR05,27,"BR10"
R17,O53,21,"O11"
R08,BL01,35,"BL11"
O11,BR11,11,"G15"
BL09,BR06,27,"BR10"
G12,O07,6,""
R17,O54,24,"O11"
BR16,BR22,10,""
BL21,BR06,24,"BR10"
BR16,BR23,12,""
BL09,BR07,26,"BR10"
R17,BR01,47,"BR09"
R08,BL02,31,"BL11"
O11,BR12,21,"G14,BR11"
BL21,BR07,22,"BR10"
G12,O08,6,""
BL09,BR08,23,"BR10"
R17,BR02,46,"BR09"
BR16,BR24,14,""
O11,BR13,24,"G14,BR11"
R08,BL03,29,"BL11"
BL21,BR08,20,"BR10"
R17,BR03,44,"BR09"
BL09,BR09,21,"BR10"
G12,O09,12,"O07"
BR16,Y07,47,"G16"
O11,BR14,27,"G14,BR11"
R08,BL04,26,"BL11"
R17,BR04,42,"BR09"
BL21,BR09,18,"BR10"
BL09,BR10,14,""
BR16,Y08,56,"BL15,O07,Y11"
G12,O10,14,"O07"
R17,BR05,40,"BR09"
R08,BL05,20,"BL11"
O11,BR15,29,"G14,BR11"
BL21,BR10,10,""
BR16,Y09,53,"BL15,O07,Y11"
BL09,BR11,17,"G12"
R17,BR06,37,"BR09"
G12,O11,8,"R11"
O11,BR16,32,"G14,BR11"
BL09,BR12,23,"BR10"
R17,BR07,36,"BR09"
BR16,Y10,52,"BL15,O07,Y11"
R08,BL06,18,"BL11"
BL21,BR11,18,"BR10"
R17,BR08,33,"BR09"
BL09,BR13,26,"BR10"
G12,O12,13,"R11,O11"
O11,BR17,33,"G14,BR11"
BL21,BR12,20,"BR10"
BR16,Y11,38,"BL15,O07"
R08,BL07,16,"BL11"
BL09,BR14,29,"BR10"
R17,BR09,24,""
BL21,BR13,23,"BR10"
BR16,Y12,50,"BL15,O07,Y11"
O11,BR18,35,"G14,BR11"
G12,O13,16,"R11,O11"
R08,BL08,14,"BL11"
BL09,BR15,31,"BR10"
BL21,BR14,26,"BR10"
R17,BR10,24,"BL12"
R22A,G08,-1,"ERROR"
BR16,Y13,52,"BL15,O07,Y11"
O11,BR19,36,"G14,BR11"
G12,O14,18,"R11,O11"
R08,BL09,12,"BL11"
BL09,BR16,34,"BR10"
BL21,BR15,26,"BR24"
BR16,Y14,54,"BL15,O07,Y11"
BL09,BR17,35,"BR10"
R17,BR11,19,"G14"
R08,BL10,8,"BL11"
O11,BR20,38,"G14,BR11"
BL21,BR16,23,"BR24"
G12,O15,20,"R11,O11"
BR16,Y15,56,"BL15,Y17"
R17,BR12,29,"G14,BR11"
BL09,BR18,37,"BR10"
BL21,BR17,26,"BR24"
O11,BR21,38,"BL14,BR24"
G12,O16,23,"R11,O11"
BR16,Y16,37,"BL15"
R17,BR13,33,"G14,BR11"
BL09,BR19,38,"BR10"
R08,BL11,3,""
BL21,BR18,25,"BR24"
BR16,Y17,35,"BL15"
O11,BR22,36,"BL14,BR24"
R17,BR14,37,"G14,BR11"
BL09,BR20,40,"BR10"
BL21,BR19,23,"BR24"
BR16,Y18,45,"BL15,O07"
